Timestamp,Interface,Traffic Type,RX_Bytes/s,TX_Bytes/s
2025-06-07 13:23:49,uesimtun2,Video,0,0
2025-06-07 13:23:49,uesimtun1,IoT,0,0
2025-06-07 13:23:50,uesimtun0,Browsing,0,0
2025-06-07 13:23:50,uesimtun2,Video,0,0
2025-06-07 13:23:50,uesimtun1,IoT,0,0
2025-06-07 13:23:51,uesimtun0,Browsing,0,0
2025-06-07 13:23:51,uesimtun2,Video,0,0
2025-06-07 13:23:51,uesimtun1,IoT,0,0
2025-06-07 13:23:52,uesimtun0,Browsing,0,0
2025-06-07 13:23:52,uesimtun2,Video,0,84
2025-06-07 13:23:52,uesimtun1,IoT,0,0
